Gene ID	Gene Name	ERR3452819	ERR3452821	ERR3452822	ERR3452820	ERR3452816	ERR3452817	ERR3452823	ERR3452818	ERR3452815
WBGene00000001	aap-1	1836	1620	1229	1733	1602	1573	1032	1687	1538
WBGene00000002	aat-1	100	163	140	77	71	89	97	74	69
WBGene00000003	aat-2	214	438	369	227	163	223	254	182	189
WBGene00000004	aat-3	278	242	219	275	298	284	143	247	275
WBGene00000005	aat-4	154	193	135	216	232	269	106	178	233
WBGene00000006	aat-5	144	555	408	186	204	256	330	118	205
WBGene00000007	aat-6	380	669	508	419	222	282	313	348	290
WBGene00000008	aat-7	19	8	14	12	8	11	6	12	7
WBGene00000009	aat-8	30	32	22	18	2	7	17	23	5
WBGene00000010	aat-9	1144	1019	704	1173	1007	1161	622	1027	1024
WBGene00000012	abf-1	21	39	17	31	27	29	34	15	30
WBGene00000013	abf-2	4	103	100	9	8	18	71	8	7
WBGene00000014	abf-3	1	0	0	0	0	0	0	0	0
WBGene00000015	abf-4	0	14	10	6	2	3	20	5	2
WBGene00000016	abf-5	176	483	393	190	161	230	289	175	152
WBGene00000017	abf-6	436	978	863	436	399	492	654	372	410
WBGene00000018	abl-1	507	616	396	466	487	584	378	462	517
WBGene00000019	abt-1	115	683	513	140	122	205	312	106	157
WBGene00000020	abt-2	319	850	605	319	372	504	500	321	392
WBGene00000021	abt-3	9	90	84	24	17	32	61	8	19
WBGene00000022	abt-4	556	2293	1522	549	574	799	1353	493	560
WBGene00000023	abt-5	97	576	463	116	85	182	337	79	111
WBGene00000024	abu-1	0	83	37	1	0	9	43	0	7
WBGene00000025	abu-2	1	1	0	0	0	0	0	0	0
WBGene00000026	abu-3	0	0	0	0	0	0	0	1	0
WBGene00000027	abu-4	0	13	11	1	0	2	5	0	2
WBGene00000028	abu-5	0	0	0	0	0	0	1	0	0
WBGene00000029	abu-6	0	230	98	6	2	20	121	1	11
WBGene00000030	abu-7	0	178	107	1	3	19	95	3	12
WBGene00000031	abu-8	1	763	453	4	13	66	460	4	43
WBGene00000032	abu-9	0	0	0	0	0	0	0	0	0
WBGene00000033	abu-10	2	754	430	8	16	75	429	9	50
WBGene00000034	abu-11	9	1089	654	20	24	109	539	12	57
WBGene00000035	ace-1	153	272	191	174	140	173	155	160	167
WBGene00000036	ace-2	288	893	712	302	289	396	543	263	329
WBGene00000037	ace-3	32	76	59	37	43	40	58	32	36
WBGene00000038	ace-4	10	24	18	8	2	5	15	12	4
WBGene00000039	acn-1	52	500	348	41	54	160	336	51	69
WBGene00000040	aco-1	5766	7739	5165	6255	6471	7672	4905	4953	6606
WBGene00000041	aco-2	20331	27426	21430	21354	21465	25132	18597	18597	23341
WBGene00000042	acr-2	8	53	29	16	12	20	36	9	11
WBGene00000043	acr-3	7	21	13	9	6	8	6	5	6
WBGene00000044	acr-5	17	27	18	19	13	4	5	19	17
WBGene00000045	acr-6	1	11	5	5	7	9	3	4	5
WBGene00000046	acr-7	13	34	21	12	9	17	10	7	8
WBGene00000047	acr-8	36	67	58	54	50	59	45	33	52
WBGene00000048	acr-9	12	31	22	16	16	7	17	5	14
WBGene00000049	acr-10	3	10	4	6	3	8	6	3	4
WBGene00000050	acr-11	38	42	38	31	13	39	19	26	19
WBGene00000051	acr-12	31	76	56	40	48	60	63	40	53
WBGene00000053	acr-14	5	14	9	8	7	8	3	1	5
WBGene00000054	acr-15	56	98	60	82	57	107	56	66	89
WBGene00000055	acr-16	69	87	76	94	108	106	54	82	99
WBGene00000056	acr-17	17	38	25	28	19	19	25	28	25
WBGene00000057	acr-18	77	146	149	83	115	150	97	66	122
WBGene00000058	acr-19	11	36	21	19	18	14	15	17	14
WBGene00000059	acr-20	15	34	13	17	12	15	13	15	12
WBGene00000060	acr-21	11	22	29	18	12	14	19	12	21
WBGene00000061	lgc-11	12	40	28	4	4	16	18	7	4
WBGene00000062	acr-23	7	9	3	11	4	2	2	5	8
WBGene00000063	act-1	1465	2550	1836	1464	1023	1399	1152	1305	1140
WBGene00000064	act-2	16226	13503	10266	16197	16140	17591	9598	15055	17401
WBGene00000065	act-3	3140	5127	3955	2985	1999	2844	2459	2610	2266
WBGene00000066	act-4	14482	35529	26064	16246	15782	20595	21868	13677	17987
WBGene00000067	act-5	8036	19272	14625	8935	7273	10271	13169	7200	7670
WBGene00000068	acy-1	223	478	359	236	302	351	247	201	322
WBGene00000069	acy-2	29	50	35	21	34	25	28	28	32
WBGene00000070	acy-3	340	555	356	347	397	507	304	268	380
WBGene00000071	acy-4	179	294	210	206	174	229	142	194	169
WBGene00000072	add-1	108	186	114	136	164	192	108	129	190
WBGene00000073	add-2	498	505	371	450	499	518	265	411	469
WBGene00000074	adm-2	607	659	514	570	557	605	443	521	523
WBGene00000075	adm-4	481	382	289	474	448	492	246	450	430
WBGene00000079	adr-1	1862	1950	1460	1746	1767	1991	1235	1728	1852
WBGene00000080	adr-2	1910	1915	1452	1901	1701	1856	1255	1683	1713
WBGene00000081	ads-1	4414	8863	6437	4944	3707	4605	5908	3924	4279
WBGene00000082	adt-1	24	226	164	33	49	89	208	23	67
WBGene00000083	adt-2	838	1209	797	810	1015	1301	709	761	1206
WBGene00000084	aex-1	272	343	249	270	164	226	115	240	139
WBGene00000085	aex-2	18	28	22	26	28	17	17	16	13
WBGene00000086	aex-3	196	475	353	209	171	252	305	192	183
WBGene00000088	aex-5	347	763	570	382	286	373	527	301	300
WBGene00000089	aex-6	100	205	133	101	76	130	103	74	114
WBGene00000090	age-1	1871	1792	1406	1863	1528	1653	1320	1614	1581
WBGene00000092	ags-3	548	633	474	544	539	571	356	497	579
WBGene00000093	agt-1	480	588	478	528	453	504	484	472	532
WBGene00000094	agt-2	486	427	314	525	429	434	269	425	387
WBGene00000095	aha-1	377	554	337	374	310	398	322	312	357
WBGene00000096	ahr-1	7	24	9	13	6	9	13	11	12
WBGene00000097	aip-1	873	837	660	959	828	926	595	782	897
WBGene00000098	air-1	6147	5550	4354	6143	4848	5172	3488	5352	4931
WBGene00000099	air-2	1655	1524	1270	1765	1436	1499	1113	1557	1451
WBGene00000100	ajm-1	1800	5039	3484	1885	2120	2922	3024	1798	2313
WBGene00000101	aka-1	6548	5725	4006	6356	5340	6012	3061	5865	5331
WBGene00000102	akt-1	4940	4365	3340	4550	3465	3704	2716	4395	3387
WBGene00000103	akt-2	205	543	421	286	263	368	325	220	255
WBGene00000105	alg-1	1120	1654	1038	1099	1225	1487	915	1113	1231
WBGene00000106	alg-2	1620	1266	891	1493	1179	1370	802	1395	1182
WBGene00000107	alh-1	6910	11978	10162	7845	7726	8515	9672	6298	7923
WBGene00000108	alh-2	2	0	0	0	2	0	0	0	0
WBGene00000109	alh-3	2566	3623	2670	2636	2420	2763	2263	2371	2440
WBGene00000110	alh-4	2710	7716	6598	2806	3240	4455	5393	2520	3344
WBGene00000111	alh-5	472	831	726	525	408	536	714	418	490
WBGene00000112	alh-6	1983	2584	1983	2207	3202	3994	1924	1820	3839
WBGene00000113	alh-7	779	1219	830	759	819	1017	754	621	933
WBGene00000114	alh-8	15742	15118	10712	16469	17053	21615	10393	14255	19179
WBGene00000115	alh-9	3184	3010	2356	3664	6838	7450	2125	2922	7500
WBGene00000116	alh-10	438	426	271	458	550	654	269	380	547
WBGene00000117	alh-11	918	1390	1017	1014	961	1128	931	809	962
WBGene00000118	alh-12	1266	2308	1730	1505	1718	2034	1500	1117	1834
WBGene00000120	aly-1	361	271	218	324	280	304	202	276	283
WBGene00000121	aly-2	5230	4397	3429	5302	4153	4300	3150	4510	4259
WBGene00000122	aly-3	4814	4553	3699	4913	4424	4797	3425	4384	4515
WBGene00000123	ama-1	4864	4403	3188	4738	4155	4584	3014	4367	4622
WBGene00000133	amt-1	107	95	74	131	524	585	93	96	517
WBGene00000134	amt-2	6	16	15	5	6	7	20	6	8
WBGene00000135	amt-3	28	65	55	29	27	36	36	31	31
WBGene00000136	amt-4	420	390	349	499	599	633	279	345	614
WBGene00000137	amx-1	345	285	183	341	294	315	173	295	248
WBGene00000138	amx-2	392	1266	1076	362	352	548	878	286	416
WBGene00000139	amx-3	60	98	84	63	84	132	49	58	117
WBGene00000140	anc-1	1109	1675	1360	1084	1407	1728	1119	1094	1308
WBGene00000142	aos-1	2777	2464	1999	2904	2302	2534	1734	2565	2389
WBGene00000143	apc-2	2109	1889	1539	2197	1843	2084	1198	1778	1799
WBGene00000144	apc-10	863	776	714	908	711	669	598	741	737
WBGene00000145	apc-11	765	635	471	763	708	574	408	641	670
WBGene00000146	ape-1	4192	4531	3455	4262	3218	3584	2916	3723	3191
WBGene00000147	aph-1	846	659	563	856	639	687	368	728	649
WBGene00000148	aph-2	1682	1366	965	1616	1248	1518	729	1432	1371
WBGene00000149	apl-1	2882	6146	4489	2841	2944	3743	3883	2670	3216
